ref,nome,tags_seo,produtos_similares_ref,descritivo_do_produto,composi_o,altura,largura,profundidade,category,stock,price,peso,url
BEA25,"Sabonete Líquido de Gerânio para as Mãos","Sabonete Liquido, Sabonete Liquido para as mãos, Sabonete Liquido de Gerânio, Produto Natural, Produto Livre de Crueladade Animal","BEA24,BEA14,CAS01,CAS02,CAS17P","Para manter suas mãos limpas e super macias! Elaborado com extratos de Aloe Vera, camomila, oliva e uva, faz uma espuma suave que purifica gentilmente. Já as notas de gerânio, hortelã-pimenta e eucalipto acalmam e elevam o seu espírito, uma boa pedida em qualquer momento do seu dia.



","Aqua, Aloe Barbadensis Extract, Vitis Vinífera Fruit Extract, Sodium PCA, Sodium Lactate, Sodium Gluconate, Chamomilla Recutita Extract, Avena Sativa Meal Extract, Glycerin, Citric Acid, Xanthan Gum, Disodium Cocoyl Glutamate, Decyl Glucoside, Sodium Lauroyl Sarcosinate, Benzyl Alcohol, Dehydroacetic Acid, Benzoic Acid, Pelargonium Graveolens Oil, Mentha Piperita Oil, Citronellol, Geraniol, Linalool.
",20,8,8,"Beauté,Mãos",4,"180,00","0,760",https://abbiacasa.com.br/import-image/BEA25.jpg
BEA26,"Sabonete de Arroz e Aveia","Sabonete, Sabonete em barra, Sabonete de Arroz e Aveia, Sabonete Anti-Idade, Produto Natural, Produto Livre de Crueladade Animal","BEA15,BEA16,BEA20,BEA21,BEA22","Uma delícia para usar todos os dias, este esfoliante e mineralizante facial tem na fórmula arroz, aveia, óleo de semente de uva e extratos de mamão e pepino. 
Anti-inflamatório e antioxidante, ajuda a prevenir o envelhecimento precoce, vermelhidão, clarear manchinhas e remover partículas poluentes. Para amar já no primeiro uso, cada barrinha é feita ã mão!

Livre de parabenos, fragrâncias e corantes artificiais. Fórmula 100% natural, vegana e não testado em animais.

","Aqua, Aloe Barbadensis Extract, Vitis Vinífera Fruit Extract, Sodium PCA, Sodium Lactate, Sodium Gluconate, Chamomilla Recutita Extract, Avena Sativa Meal Extract, Glycerin, Citric Acid, Xanthan Gum, Disodium Cocoyl Glutamate, Decyl Glucoside, Sodium Lauroyl Sarcosinate, Benzyl Alcohol, Dehydroacetic Acid, Benzoic Acid, Pelargonium Graveolens Oil, Mentha Piperita Oil, Citronellol, Geraniol, Linalool.
",7,5,3,"Beauté,Rosto, mãos e corpo",3,"37,80","0,300",https://abbiacasa.com.br/import-image/BEA26.jpg
BEA27,"Tônico de Lavanda Orgânico","Tônico, Tõnico antioxidante, Tônico antioxidante para o Rosto, Tônico para corpo, Tônico de Lavanda, Produto Livre de Crueladade Animal","BEA05,BEA06,BEA07,BEA17,BEA18","Para quem prefere aromas marcantes, este tônico tem poderes incríveis. Além de ser antioxidante, ajuda a combater a queda de cabelos e mantê-los sempre lindos.
É também um grande aliado para o fortalecimento do sistema respiratório e revitalizar não só sua pele, mas suas energias essenciais."," Hidrolato de Rosmarinus Officinalis.",12,4,4,",Rosto",0,"44,85","0,300",https://www.gazin.com.br/images/jpg/produto-default.jpg
BEA28,"Pedra Vulcânica","Pedra Vulcânica, Pedra Vulcânica Esfoliante para a Pele, Produto Natural","BEA01,BEA02,BEA03,BEA06,BEA19","Uma alternativa que adoramos para remover células mortas e revigorar a pele seca, especialmente a dos pés. O resultado é uma maciez incrível!
Indicado para todos os tipos de pele, incluindo as sensíveis.



","Pedra de Lava Vulcânica.",4,10,8,"Beauté,Pés",3,"34,20","0,300",https://abbiacasa.com.br/import-image/BEA28.jpg
CAS04,"Fruteira Formas","Fruteira, Centro de Mesa, Objeto Decorativo, Vaso, Cachepot","CAS05,CAS32,(NUDE),CAS33,CAS47G,CAS48","Design e multifuncionalidade caminham juntos em uma só peça feita em metal. Ideia que a gente ama: um dia uma fruteira, em outro um cachepot...é só aproveitar! 


","Fruteira em metal com pintura acabamento epóxi,",24,36,36,"Casa,Fruteiras,Novidade",2,"531,27","1,142",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS05,Disco,"Fruteira, Centro de Mesa, Objeto Decorativo, Vaso, Cachepot","CAS04,CAS32,(TERRACOTA),CAS33,CAS47G,CAS48","Uma fruteira linda e aberta a novas experiências: funciona bem como centro de mesa e tudo mais que você imaginar na sua decoração. Peça feita em metal.



","Centro de mesa com pintura acabamento epóxi.",14,36,36,"Casa,Fruteiras,Novidade",2,"410,22","0,698",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS06M,"Bandeja Sunshine","Bandeja, Centro de Mesa, Objeto Decorativos, Objeto de Design",",CAS41M,CAS44G,CAS17P,CAS77,CAS80","Imprima leveza e a energia solar para servir bem e a qualquer hora. Uma dica Abbia Casa: monte um minibar com garrafas e taças. É sucesso! Peça feita em metal com acabamento dourado e parte interna em espelho.
","Bandeja em aço com acabamento dourado nas laterais e espelho na base.",5,32,32,"Casa,Bandejas,Novidade",2,"382,50","1,100",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS06P,"Bandejas Sunshine","Bandeja, Centro de Mesa, Objeto Decorativos, Objeto de Design","CAS41M,CAS44G,CAS17P,CAS77,CAS80","Imprima leveza e a energia solar para servir bem e a qualquer hora. Uma dica Abbia Casa: monte um minibar com garrafas e taças. É sucesso! Peça feita em metal com acabamento dourado e parte interna em espelho.



","Bandeja em aço com acabamento dourado nas laterais e espelho na base.",5,26,26,"Casa,Bandejas,Novidade",2,"257,00","0,788",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS07,"Enfeite Folha","Objeto Decorativo, Objeto de Design, Centro de Mesa, Objeto em Fibra Natural","CAS08,CAS19G,CAS37G,CAS32,,CAS87G","Trama feita com fibras naturais, pode ser usado como centro de mesa, mas também fica incrível para decorar a parede!


","Centro de mesa em fibras naturais.",17,40,80,"Casa,Centros de Mesa,Novidade",1,"307,00","1,364",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS08,"Enfeite Palma","Objeto Decorativo, Objeto de Design, Centro de Mesa, Objeto em Fibra Natural","CAS07,CAS19G,CAS37G,CAS32,CAS87G","Trama feita com fibras naturais, pode ser usado como centro de mesa, mas também fica incrível para decorar a parede!



","Centro de mesa em fibras naturais.",10,22,54,"Casa,Centros de Mesa,Novidade",1,"483,77","0,750",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS09,"Porta Toalhas","Porta Toalhas, Porta Objeto, Objeto Utilitário","CAS11,CAS15,CAS25,CAS37G,CAS64","Um organizador super charmoso e funcional para o banheiro e lavabo. Feito em madeira.


","Porta toalhas confecionado em madeira.",150,43,3,"Casa,Porta Toalhas,Novidade",2,"659,77","1,250",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS10,"Caixinhas Vendôme","Porta Jóias, Objeto Decorativo, Porta Objetos, Objeto Utilitário , Caixa","CAS11,CAS12,CAS18,CAS25,CAS49","Organize de tudo com estilo, sempre! Além de ser um mimo incrível para presentear. Feitas em MDF e forradas com tecido.

","Caixas em MDF revetidas em tecido.",6,30,20,"Casa,Caixas ,Novidade",0,"329,77","1,491",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS11,"Enfeite Coquille","Vaso, Vaso em Poliresina, Cachepot, Porta Objetos, Objeto de Forma Orgânica","CAS12,CAS13M,(TRANSPARENTE),CAS13M,(PRETO),CAS13M,(ROSA),CAS20M","Com várias possibilidades de uso, esta peçca em poliresina também é uma graça como elemento decorativo. 


","Enfeite em Poliresina.",15,14,28,"Casa,Vasos ,Novidade",2,"621,25","1,872",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS12,"Vaso Coquille","Vaso, Vaso em Poliresina, Cachepot, Porta Objetos, Objeto de Forma Orgânica","CAS11,CAS13M,(TRANSPARENTE),CAS13M,(PRETO),CAS13M,(ROSA),CAS20M","Leve um clima inusitado e divertido para sua decoração. Feito em poliresina.


","Enfeite em Poliresina.",20,25,12,"Casa,Vasos ,Novidade",2,"335,37","0,821",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS13M,"Vaso Coquille em Vidro","Vaso, Vaso em Vidro, Cachepot, Enfeites, Objeto Decorativo","CAS11,CAS12,CAS13P,(TRANSPARENTE),CAS13P,(PRETO),CAS13M,(ROSA),","Leve um clima inusitado e divertido para sua decoração. Feito em vidro.","Vaso em Vidro.",20,26,5,"Casa,Vasos ,Novidade",0,"241,20","1,251",https://abbiacasa.com.br/import-image/CAS13M.jpg
CAS13P,"Vaso Coquille em Vidro","Vaso, Vaso em Vidro, Cachepot, Enfeites, Objeto Decorativo","CAS11,CAS12,CAS13M,(TRANSPARENTE),CAS13M,(PRETO),CAS13M,(ROSA),","Leve um clima inusitado e divertido para sua decoração. Feito em vidro.","Vaso em Vidro.",15,20,5,"Casa,Vasos ,Novidade",0,"168,77","0,733",https://abbiacasa.com.br/import-image/CAS13P.jpg
CAS13M,"Vaso Coquille em Vidro","Vaso, Vaso em Vidro, Cachepot, Enfeites, Objeto Decorativo","CAS11,CAS12,CAS13P,(TRANSPARENTE),CAS13P,(PRETO),CAS13M,(ROSA),","Leve um clima inusitado e divertido para sua decoração. Feito em vidro.","Vaso em Vidro.",20,26,5,"Casa,Vasos ,Novidade",0,"241,20","1,129",https://abbiacasa.com.br/import-image/CAS13M.jpg
CAS13P,"Vaso Coquille em Vidro","Vaso, Vaso em Vidro, Cachepot, Enfeites, Objeto Decorativo","CAS11,CAS12,CAS13M,(PRETO),CAS13M,(TRANSPARENTE),CAS13M,(ROSA)","Leve um clima inusitado e divertido para sua decoração. Feito em vidro.","Vaso em Vidro.",15,20,5,"Casa,Vasos,Novidade",0,"192,92","0,806",https://abbiacasa.com.br/import-image/CAS13P.jpg
CAS13M,"Vaso Coquille em Vidro","Vaso, Vaso em Vidro, Cachepot, Enfeites, Objeto Decorativo","CAS12,CAS13M,(TRANSPARENTE),CAS13P,(TRANSPARENTE),CAS13M,(PRETO),CAS13P,(PRETO)","Leve um clima inusitado e divertido para sua decoração. Feito em vidro fosco.


","Vaso em Vidro.",20,26,5,"Casa,Vasos ,Novidade",4,"265,37","1,364",https://abbiacasa.com.br/import-image/CAS13M.jpg
CAS14,"Vaso Maia","Vaso, Vaso em Cimento, Cachepot, Objeto Decorativo","CAS20,CAS26,CAS33,CAS43G,CAS43M,","Para colocar um toque do sagrado e de viagens pelo globo dentro do seu próprio espaço. Feito em cimento.
 


","Vaso em Cimento.",20,25,25,"Casa,Vasos,Novidade",2,"263,77","3,918",https://abbiacasa.com.br/import-image/CAS14.jpg
CAS15,"Caixinhas Tropicália","Porta Jóias, Objeto Decorativo, Porta Objetos, Objeto Utilitário , Caixa","CAS11,CAS12,CAS18,CAS25,CAS49","Organize de tudo com estilo, sempre! Além de ser um mimo incrível para presentear. Feitas em MDF e forradas com tecido.

","Caixas em MDF revetidas em tecido.",6,30,20,"Casa,Caixas ,Novidade",2,"329,77","1,491",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS16,"Par de Ilustrações Musa","Ilustrações, Fine Art, Quadro Decorativo, Gravura","CAS36,CAS61,CAS62,CAS66,CAS69","Delicadas e femininas, as ilustrações são excelente pedida para personalizar qualquer ambiente. Moldura em madeira e acabamento em vidro.


","Ilustrações em impressão fine art, moldura em madeira e acabamento em vidro.",60,40,3,"Casa,Ilustrações,Novidade",1,"505,77","1,897",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS17P,"Bandejas Reflex","Bandeja, Centro de Mesa, Objeto Decorativo, Objeto de Design","CAS06M,CAS19G,CAS41M,CAS44G,CAS45","Simplicidade e elegância definem este item. Uma dica que a Abbia Casa ama é colocar taças e garrafas com ela et voilà! Você tem seu minibar. Peça em metal com acabamento em dourado e parte interna em espelho.

","Bandeja em aço com acabamento dourado e base em espelho.",6,36,36,"Casa,Bandejas,Novidade",2,"327,00","1,218",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS18,"Porta Livros Atlas","Porta Livros, Objeto Decorativo, Enfeite, Utilitário","CAS11,CAS14,CAS22,CAS28,CAS29","
Organizar e cuidar dos livros da estante ou prateleira? Nós gostamos! Peça produzida em cerâmica.



","Porta livros em cerâmica.",9,16,16,"Casa,Porta Livros,Novidade",2,"273,22","1,373",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS19G,"Bandeja Pic Nic","Bandeja, Cestaria, Cestaria Natural, Fruteira, Centro de Mesa",",CAS08,CAS37G,CAS87G,CAS89,CAS90","Um clássico atemporal para servir amigos com uma pegada informal e incrivelmente chique. Trama feita com junco natural e detalhes de junco sintético.
","Bandeja em Fibras Naturais.",17,86,42,"Casa,Bandejas,Novidade",2,"769,77","1,861",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS19P,"Bandeja Pic Nic","Bandeja, Cestaria, Cestaria Natural, Fruteira, Centro de Mesa","CAS08,CAS37G,CAS87G,CAS89,CAS90","Um clássico atemporal para servir amigos com uma pegada informal e incrivelmente chique. Trama feita com junco natural e detalhes de junco sintético.



","Bandeja em Fibras Naturais.",17,65,30,"Casa,Bandejas,Novidade",2,"659,77","0,951",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS20G,"Vaso Caramujo","Vaso, Vaso em Cimento, Cachepot, Objetos Decorativo, Estilo Mediterrâneo","CAS14,CAS26G,CAS33,CAS51,CAS52,","Perfeito para ser destaque ou mesclar com outras peças da sua decoração! Feito em cimento.
","Vaso em cimento.",26,35,35,"Casa,Vasos,Novidade",1,"549,77","6,748",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS20P,"Vaso Caramujo","Vaso, Vaso em Cimento, Cachepot, Objeto Decorativo, Estilo Mediterrâneo","CAS14,CAS20G,CAS33,CAS51,CAS52","Perfeito para ser destaque ou mesclar com outras peças da sua decoração! Feito em cimento.


","Vaso em Cimento.",17,25,25,"Casa,Vasos,Novidade",1,"219,77","2,448",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS21G,"Vaso Pino","Vaso, Cerâmica, Cachepot, Objeto Decorativo, Vaso Pequeno",",CAS22,CAS23,CAS24G,CAS34,CAS35,(TERRACOTA)","Uma cerâmica lúdica e funcional para dar vida nova a qualquer cantinho que você goste.
","Vaso em cerâmica.",28,14,14,"Casa,Vasos,Novidade",2,"211,00","1,224",https://abbiacasa.com.br/import-image/CAS21G.jpg
CAS21P,"Vaso Pino","Vaso, Cerâmica, Cachepot, Objeto Decorativo, Vaso Pequeno","CAS22,CAS23,CAS24G,CAS34,CAS35,(TERRACOTA)","Uma cerâmica lúdica e funcional para dar vida nova a qualquer cantinho que você goste.


","Vaso em cerâmica.",18,12,12,"Casa,Vasos ,Novidade",2,"111,62","0,683",https://abbiacasa.com.br/import-image/CAS21P.jpg
CAS22,"Vaso Rolha","Vaso, Cerâmica, Objeto Decorativo, Vaso Grande","CAS21G,CAS23,CAS24G,CAS34,CS35,(NUDE)","O design único em cerâmica vai causar um efeito surpreendente em casa ou escritório. Feito em cerâmica.","Vaso em cerâmica.",30,15,15,"Casa,Vasos,Novidade",2,"298,00","2,051",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS23,"Vaso Melody","Vaso, Cerâmica, Cachepot, Objeto Decorativo, Vaso Pequeno","CAS21P,CAS22,CAS24P,CAS42P,CAS56","O design único em cerâmica vai causar um efeito surpreendente em casa ou escritório. Feito em cerâmica.


","Vaso em cerâmica.",18,15,15,"Casa,Vasos ,Novidade",2,"198,65","1,376",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS24G,"Vaso Rings","Vaso, Cerâmica, Cachepot, Objeto Decorativo, Vaso Pequeno","CAS21G,CAS22,CAS23,CAS42M,CAS54","Para quem gosta do clássico com um toque de novos ares! Feito em cerâmica.","Vaso em cerâmica.",17,20,20,",Vasos,Novidade",2,"285,65","2,253",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS24M,"Vaso Rings","Vaso, Cerâmica, Cachepot, Objeto Decorativo, Vaso Pequeno","CAS21G,CAS22,CAS23,CAS42P,CAS55","Para quem gosta do clássico com um toque de novos ares! Feito em cerâmica.","Vaso em cerâmica.",14,15,15,",Vasos,Novidade",2,"136,50","1,396",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS24P,"Vasos Rings","Vaso, Cerâmica, Cachepot, Objeto Decorativo, Vaso Pequeno","CAS21P,CAS22,CAS23,CAS42P,CAS56","Para quem gosta do clássico com um toque de novos ares! Feito em cerâmica.

","Vaso em cerâmica.",10,12,12,"Casa,Vasos ,Novidade",2,"86,77","0,567",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS25,"Caixas Ibis","Porta Jóias, Objeto Decorativo, Porta Objetos, Objeto Utilitário , Caixa","CAS11,CAS12,CAS15,CAS18,CAS29","Organize de tudo com estilo, sempre! Além de ser um mimo incrível para presentear. Feitas em MDF e forradas com tecido.


","Caixas em MDF revetidas em tecido.",25,30,20,"Casa,Caixas ,Novidade",2,"329,77","1,491",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS26G,"Cachepot Mediterrâneo","Vaso, Vaso em Cimento, Cachepot, Objeto Decorativo",",CAS27,CAS30,CAS32(NUDE),CAS33,CAS35,(NUDE)","Uma brisa do verão mediterrâneo soprando direto na sua casa! Feito em cimento.","Cachepot em cimento texturizado.",17,25,25,",Cachepots,Novidade",2,"175,77","2,464",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS26P,"Cachepot Mediterrâneo","Vaso, Vaso em Cimento, Cachepot, Objeto Decorativo",",CAS27,CAS30,CAS32,(NUDE),CAS33,CAS35,(NUDE)","Uma brisa do verão mediterrâneo soprando direto na sua casa! Feito em cimento.



","Cachepot em cimento texturizado.",14,20,20,"Casa,Cachepots,Novidade",1,"98,77","1,109",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS27,"Fruteira Mediterrâneo","Fruteita, Centro de Mesa, Objeto Decorativo, Objeto em Cimento, Cachepot",",CAS26G,CAS30,CAS32(NUDE),CAS33,CAS59"," Escolha esta peça em metal para transformar sua mesa em uma super mesa! Feita em cimento.


","Cachepot em cimento texturizado.",8,33,33,"Casa,Fruteiras,Novidade",2,"186,77","2,246",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS28,"Peso de Papel Déco","Peso de Papel, Objeto Decortivo, Enfeite, Enfeite para a Casa","CAS07,CAS08,CAS11,CAS18,CAS29","Chique em qualquer circunstância, é você quem define como e onde vai colocá-lo! Feito em metal e base em polímero com acabamento brilhante.


","Peso de papel com base em polipropileno, com acabamento brilhante preto e corpo em polipropileno dourado com acabamento brilhante.",33,14,8,"Casa,Pesos de Papel,Novidade",3,"397,00","0,896",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS29,"Enfeite Rex","Enfeite, Enfeite para a Casa, Objeto Decorativo, Enfeite Cerâmica ","CAS07,CAS11,CAS18,CAS28,CAS13M,(ROSA)","Um charme à parte, este pet decorativo de louça branca traz um pouco de humor para seu cotidiano.
","Enfeite em cerâmica.",37,11,15,"Casa,Peças Decorativas,Novidade",2,"496,95","0,806",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS30,"Cerâmica Mushroom","Fruteita, Centro de Mesa, Objeto Decorativo, Vaso, Cachepot, Objeto em Cimento","CAS31,CAS32,(TERRACOTA),CAS32,(NUDE),CAS33,CAS34,","Inove, aposte e acerte com a estética e linhas super arrojadas. Feita em cimento.
* ATENÇÃO: Cimento possui acabamento levemente esbranquiçado. Característica normal da peça, não constituindo defeito de fabricação","Peça em concreto.",15,25,25,"Casa,Vasos,Novidade",3,"263,77","2,302",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS31,"Cerâmica Mushroom","Fruteira, Centro de Mesa, Objeto Decorativo, Vaso, Cachepot, Objeto em Cimento","CAS30,CAS32,(TERRACOTA),CAS32,(NUDE),CAS33,CAS35,(TERRACOTA)","Inove, aposte e acerte com a estética e linhas super arrojadas. Feita em cimento.                                                    *ATENÇÃO: Cimento possui acabamento levemente esbranquiçado, não constituindo defeito de fabricação.

","Peça em concreto.",15,25,25,"Casa,Vasos,Novidade",3,"263,77","2,344",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS32,"Cerâmica Platô","Fruteira, Centro de Mesa, Objeto Decorativo, Cachepot, Objeto em Cimento","CAS30,CAS31,CAS33,CAS32,(NUDE),CAS35,(TERRACOTA)","
Uma peça clássica, sim. Mas com personalidade de sobra! Feita em cimento.                                                                 *ATENÇÃO: Cimento possui acabamento levemente esbranquiçado, não constituindo defeito de fabricação.","Peça em concreto.",10,35,35,"Casa,Centros de Mesa,Novidade",2,"329,77","4,124",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS32,"Cerâmica Platô","Fruteira, Centro de Mesa, Objeto Decorativo, Vaso, Cachepot, Objeto em Cimento","CAS30,CAS31,CAS32,(TERRACOTA),CAS33,CAS35,(NUDE)","
Uma peça clássica, sim. Mas com personalidade de sobra! Feita em cimento.
*ATENÇÃO: Cimento possui acabamento levemente esbranquiçado, não constituindo defeito de fabricação.","Peça em concreto.",10,35,35,"Casa,Centros de Mesa,Novidade",2,"329,77","4,260",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS33,"Cerâmica Copine","Vaso, Cerâmica, Centro de Mesa, Fruteira, Cachepot","CAS30,CAS32,(NUDE),CAS34,CAS35,(NUDE),CAS60","Design divertido é a ideia para trazer bom humor ao ambiente. Peça em cerâmica.


","Peça em concreto.",17,23,23,"Casa,Vasos,Novidade",2,"298,00","1,036",https://abbiacasa.com.br/import-image/CAS33.jpg
CAS34,"Vaso Bubble","Vaso, Cerâmica, Objeto Decorativo, Objeto Contemporâneo","CAS30,CAS31,CAS32,(TERRACOTA),CAS33,CAS35,(TERRACOTA)","Com design dinâmico e surpreendente, uma peça para fugir do convencional. Feito em cerâmica.


","Vaso em cerâmica.",26,23,23,"Casa,Vasos ,Novidade",2,"447,25","1,230",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS35,"Vaso Capri (TERRACOTA)","Vaso, Cerâmica, Objeto Decorativo,Objeto Contemporâneo","CAS30,CAS31,CAS32,(TERRACOTA),CAS33,CAS34,(TERRACOTA)","Com design dinâmico e surpreendente, uma peça para fugir do convencional. Feito em cerâmica.","Vaso em cerâmica.",30,15,15,"Casa,Vasos,Novidade",2,"322,95","1,022",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS35,"Vaso Capri (NUDE)","Vaso, Cerâmica, Objeto Decorativo, Objeto Contemporâneo","CAS30,CAS31,CAS32,(NUDE),CAS33,CAS35,(TERRACOTA)","Com design dinâmico e surpreendente, uma peça para fugir do convencional. Feito em cerâmica.


","Vaso em cerâmica.",30,15,15,"Casa,Vasos ,Novidade",2,"322,95","1,022",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS36,"Par de Ilustrações Landscape","Ilustrações, Fine Art, Quadro Decorativo, Gravura","CAS16,CAS61,CAS62,CAS66,CAS69","Aposte nesta composição para aquecer e trazer uma boa dose de aconchego. Moldura em madeira e acabamento em vidro.


","Ilustrações em impressão fine art, moldura em madeira e acabamento em vidro.",70,50,3,"Casa,Ilustrações,Novidade",1,"725,77","2,161",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS37G,"Cestaria Copacabana","Cestaria, Cestos, Cesto em Trama de Algodão, Utilitário","CAS07,CAS19G,CAS87G,CAS89,CAS44G","O mix de texturas e bossa de sobra é ideal para abraçar um clima mais informal. Trama confeccionada em algodão.","Cestaria em algodão.",18,58,30,",Cestarias,Novidade",1,"263,77","0,796",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS37M,"Cestaria Copacabana","Cestaria, Cestos, Cesto em Trama de Algodão, Utilitário","CAS07,CAS19P,CAS87M,CAS89,CAS44P","O mix de texturas e bossa de sobra é ideal para abraçar um clima mais informal. Trama confeccionada em algodão.


","Cestaria em algodão.",14,46,30,"Casa,Cestarias,Novidade",2,"175,77","0,585",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS38,"Espelho Vanity","Espelhos, Espelho Contemporâneo, Espelho Moderno","CAS6M,CAS08,CAS17P,CAS62,CAS66,","
Com mil e uma utilidades, o espelho ajuda a dar amplitude e iluminar o ambiente. E o formato orgânico é só um plus!

Uma sugestão Abbia é fazer uma composição com os espelhos Célula e Gota!
","Espelho com suporte traseiro em madeira.",20,31,15,"Casa,Espelhos,Novidade",2,"217,00","0,666",https://abbiacasa.com.br/import-image/CAS38.jpg
CAS39,"Espelho Célula","Espelhos, Espelho Contemporâneo, Espelho Moderno","CAS06M,CAS08,CAS17P,CAS62,CAS66","Com mil e uma utilidades, o espelho ajuda a dar amplitude e iluminar o ambiente. E o formato orgânico é só um plus!

Um sugestão Abbia é fazer uma composição com os espelhos Vanity e Gota! 
","Espelho com suporte traseiro em madeira.",32,33,15,"Casa,Espelhos,Novidade",2,"313,00","1,039",https://abbiacasa.com.br/import-image/CAS39.jpg
CAS40,"Espelho Gota","Espelhos, Espelho Contemporâneo, Espelho Moderno","CAS06M,CAS08,CAS17P,CAS62,CAS66","Com mil e uma utilidades, o espelho ajuda a dar amplitude e iluminar o ambiente. E o formato orgânico é só um plus!

Uma sugestão Abbia é fazer uma composição com os espelhos Vanity e Célula.","Espelho com suporte traseiro em madeira.",37,46,15,"Casa,Espelhos,Novidade",2,"482,50","1,779",https://abbiacasa.com.br/import-image/CAS40.jpg
CAS41M,"Bandeja Creta","Bandeja, Bandeja Pequena, Utilitário",",CAS06M,CAS17P,CAS44G,CAS45,CAS50,(BRANCA)","Para quem gosta de brincar ângulos e texturas diferentes. Feita em cimento com alças de metal maciço.
","Bandeja em concreto com hastes em aço com acabamento em pintura epóxi preta;",6,40,15,",Bandejas,Novidade",2,"422,37","3,040",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS41P,"Bandeja Creta","Bandeja, Bandeja Pequena, Utilitário","CAS06P,CAS17P,CAS44P,CAS45,CAS50,(BRANCA)","Para quem gosta de brincar ângulos e texturas diferentes. Feita em cimento com alças de metal maciço.


","Bandeja em concreto com hastes em aço com acabamento em pintura epóxi preta;",6,27,15,"Casa,Bandejas,Novidade",1,"347,80","1,830",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS42M,"Vaso Milo","Vaso, Cerâmica, Vaso Pequeno, Cachepot",",CAS43G,CAS21P,CAS23,CAS24P,CAS54","O formato inusitado é o trunfo deste vaso charmoso e funcional. Feitos em cerâmica.","Vaso em cerâmica.",25,12,12,",Vasos,Novidade",2,"186,20","1,012",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS42P,"Vaso Milo","Vaso, Cerâmica, Vaso Pequeno, Cachepot",",CAS43P,CAS21P,CAS23,CAS24P,CAS54","O formato inusitado é o trunfo deste vaso charmoso e funcional. Feitos em cerâmica.



","Vaso em cerâmica.",15,8,8,"Casa,Vasos,Novidade",2,"74,35","0,311",https://www.gazin.com.br/images/jpg/produto-default.jpg
CAS43G,"Vaso Piny","Vaso, Cerâmica, Vaso Grande, Cachepot, Objeto Grande","CAS42M,CAS51,CAS54,CAS58,CAS59","Brincar com o design, por que não? É coisa que a gente adora! Feitos em cerâmica.","Vaso em cerâmica.",43,23,23,"Casa,Vasos,Novidade",2,"571,55","2,010",https://abbiacasa.com.br/import-image/CAS43G.jpg
CAS43M,"Vasos Piny","Vaso, Cerâmica, Vaso Médio, Cachepot, Objeto Médio","CAS42P,CAS51,CAS55,CAS58,CAS59","Brincar com o design, por que não? É coisa que a gente adora! Feitos em cerâmica.


","Vaso em cerâmica.",33,20,20,"Casa,Vasos,Novidade",2,"298,00","1,276",https://abbiacasa.com.br/import-image/CAS43M.jpg
